from_stop,to_stop,cost_km
0,0,0.0
0,365,0.8545
0,465,0.2659
0,734,1.1725
0,2419,0.9775
0,4338,0.5825
0,4917,0.5727
0,6163,0.8232
0,9504,0.922
0,9818,1.0663
0,9877,0.4321
1,0,38.5072
1,1,0.0
1,512,1.2443
1,789,0.679
1,1197,1.2541
1,2274,0.1779
1,3364,1.1236
1,6358,0.9866
1,7715,1.0458
1,8670,0.8903
1,9197,0.7239
1,9298,0.5263
2,0,26.2557
2,2,0.0
2,619,1.1012
2,3272,0.6064
2,3630,1.2545
2,4732,1.0163
2,5765,0.4544
2,9196,0.4564
2,9307,0.8648
2,9592,0.8107
2,9838,0.9334
2,9939,1.2413
3,0,19.8128
3,3,0.0
3,541,0.5795
3,1359,1.0594
3,2364,1.4338
3,3792,1.2272
3,5430,0.7222
3,6429,0.7765
3,8076,0.7253
3,8105,0.9422
3,8557,1.0039
3,9779,1.4081
4,0,15.6679
4,4,0.0
4,2359,1.1691
4,4003,0.5924
4,5744,0.5796
4,6548,1.1153
4,6915,1.2902
4,8081,1.0667
4,8522,0.8871
4,8780,0.8876
4,8927,1.1231
4,9651,0.5061
5,0,31.0555
5,5,0.0
5,930,1.1161
5,1710,0.589
5,2037,0.8741
5,2068,0.5947
5,2393,0.9465
5,3525,0.63
5,6043,0.3536
5,6734,0.4929
5,7296,0.5484
5,9908,0.8728
6,0,28.429
6,6,0.0
6,458,0.6731
6,1465,0.6586
6,2246,0.3755
6,3233,0.4162
6,3671,0.6611
6,4209,0.4687
6,5635,0.3453
6,7256,0.7148
6,8103,0.8913
6,8182,0.798
7,0,36.0764
7,7,0.0
7,1158,1.1125
7,2429,1.4873
7,3075,1.025
7,3206,1.0059
7,3406,0.6151
7,5254,0.2607
7,5259,0.7811
7,5467,0.9364
7,5537,0.92
7,7359,0.6881
8,0,26.4138
8,8,0.0
8,2264,0.8686
8,3437,0.9126
8,3463,0.5733
8,3968,0.8524
8,4500,0.8091
8,4987,0.3426
8,8258,0.8557
8,8431,1.1314
8,9089,0.9966
8,9816,0.7757
9,0,30.9144
9,9,0.0
9,176,1.1566
9,777,1.1134
9,798,0.7963
9,2639,0.8144
9,2943,0.4735
9,3379,0.6595
9,5023,1.0634
9,5285,0.9722
9,7110,1.111
9,9558,1.0821
10,0,37.065
10,10,0.0
10,1402,1.1072
10,2295,0.9088
10,3223,0.6288
10,3668,0.6274
10,3794,0.9552
10,4099,0.6965
10,5981,0.9214
10,7477,0.5554
10,8180,1.0464
10,8525,0.9232
11,0,44.3596
11,11,0.0
11,305,0.4784
11,1180,0.5451
11,2636,0.4717
11,2694,0.5731
11,2717,0.8656
11,2979,0.0693
11,5344,0.7964
11,5406,0.3469
11,6518,0.8903
11,8434,0.8191
12,0,43.3874
12,12,0.0
12,3205,0.7275
12,3572,0.6018
12,5742,0.5559
12,6713,0.8692
12,7534,0.5574
12,7957,0.5787
12,8559,0.4589
12,9430,0.8645
12,9683,0.8765
12,9898,0.5863
13,0,11.0598
13,13,0.0
13,944,0.5488
13,2066,0.7356
13,3257,0.8897
13,3745,0.7696
13,5159,0.8985
13,5870,0.3981
13,7284,0.5616
13,7716,0.9251
13,7886,0.8325
13,9473,0.5814
14,0,14.7456
14,14,0.0
14,2030,1.0866
14,3332,0.8797
14,5008,0.0422
14,6740,1.0452
14,6915,1.0322
14,8306,0.2186
14,8494,0.8061
14,8932,0.7295
14,9408,1.1598
14,9440,0.9271
15,0,23.7486
15,15,0.0
15,1295,1.1287
15,2289,0.8596
15,2960,0.9855
15,3354,0.4611
15,4390,0.3324
15,5270,0.9754
15,5716,0.4535
15,6001,1.0621
15,6540,0.7607
15,9772,0.7762
16,0,20.9545
16,16,0.0
16,2445,0.1363
16,2942,0.8157
16,4777,0.6028
16,4821,1.0663
16,5759,0.6513
16,6657,1.0907
16,6985,0.0763
16,7961,0.7231
16,9381,0.4007
16,9426,1.2584
17,0,12.4761
17,17,0.0
17,2679,0.6728
17,4813,0.8673
17,5901,1.2802
17,6889,1.1326
17,7243,0.9491
17,7500,1.2093
17,8138,1.1741
17,8229,0.6657
17,9518,1.149
17,9698,0.9675
18,0,15.6645
18,18,0.0
18,39,0.5508
18,2263,0.7651
18,3241,0.2019
18,4332,0.9095
18,5913,0.8962
18,6549,0.8539
18,7082,0.1357
18,7229,0.7888
18,7619,0.6049
18,8794,0.8606
19,0,8.4148
19,19,0.0
19,110,0.1784
19,1070,0.5361
19,1269,0.2403
19,2180,1.3624
19,2229,0.8459
19,2403,1.4167
19,3707,1.1798
19,4179,0.9771
19,7337,1.5273
19,7949,0.8455
20,0,19.2437
20,20,0.0
20,756,0.6308
20,950,0.8162
20,1933,0.9766
20,3109,0.2122
20,3330,0.6554
20,3491,0.6305
20,3813,0.2034
20,7508,0.419
20,7637,0.7824
20,8390,0.7674
21,0,24.8156
21,21,0.0
21,866,1.1937
21,1909,1.1595
21,1993,0.5859
21,2156,0.8451
21,4027,1.3323
21,4400,1.2076
21,4463,0.7069
21,6815,1.077
21,6933,0.9664
21,8928,1.0695
22,0,30.3378
22,22,0.0
22,964,1.0208
22,2206,1.0167
22,3530,0.977
22,3800,0.8625
22,4396,1.0147
22,6187,0.3385
22,7430,0.8862
22,8139,0.7987
22,8175,0.4263
22,9276,0.6835
23,0,20.3553
23,23,0.0
23,826,1.6502
23,1768,0.6454
23,1840,0.4487
23,2147,0.682
23,3025,0.5685
23,5239,0.5234
23,7172,0.8305
23,7425,0.8035
23,8157,1.2704
23,8597,1.2542
24,0,20.8964
24,24,0.0
24,1376,0.8516
24,2484,0.4664
24,4198,1.0995
24,4758,0.7537
24,6704,0.2865
24,7210,0.8187
24,7553,0.5981
24,7984,1.1689
24,7997,0.5803
24,9525,0.4209
25,0,30.0373
25,25,0.0
25,549,0.9449
25,2710,0.8712
25,4149,0.4355
25,4346,0.9797
25,5907,0.6523
25,5926,0.5734
25,7536,0.8072
25,9101,0.6746
25,9254,1.0019
25,9258,0.692
26,0,32.1962
26,26,0.0
26,1458,1.1394
26,1820,0.6824
26,3050,0.9383
26,3094,0.8033
26,3350,1.1885
26,3442,0.7989
26,6181,0.7124
26,7113,0.7948
26,7420,0.5848
26,9059,0.2384
27,0,30.3599
27,27,0.0
27,306,0.8589
27,3138,0.6318
27,4501,0.5254
27,6126,0.3764
27,7333,0.7428
27,8745,0.7451
27,8797,0.5201
